formula,sta_formula
NiO,NiO
NiCo2O4,NiCo2O4
CaCO3,CaCO3
CaCO3-MnO,CaMnCO4
Bi2WO6,Bi2WO6
MnxCo3-xO4,MnCo3O4
ZnxCo3-xO4,ZnCo3O4
Co3O4,Co3O4
α-Fe2O3,Fe2O3
SnO2,SnO2
MgCo2O4,MgCo2O4
LiMn2O4,LiMn2O4
Fe2O3,Fe2O3
Mn0.5Co0.5Fe2O4,Mn0.5Co0.5Fe2O4
Mn0.25Co0.75Fe2O4,Mn0.25Co0.75Fe2O4
Mn0.75Co0.25Fe2O4,Mn0.75Co0.25Fe2O4
MnFe2O4,MnFe2O4
CoFe2O4,CoFe2O4
Mn2O3,Mn2O3
CoMn2O4,CoMn2O4
Co1.5Mn1.5O4,Co1.5Mn1.5O4
Co2MnO4,Co2MnO4
ZnMn2O4,ZnMn2O4
ZnCo2O4,ZnCo2O4
La(Co0.2Mn0.2Fe0.2Ni0.2Cu0.2)O3,LaCo0.2Mn0.2Fe0.2Ni0.2Cu0.2O3
LaCoO3,LaCoO3
La2CoMnO6,La2CoMnO6
CeO2,CeO2
La2O3,La2O3
Nd2O3,Nd2O3
ZnO,ZnO
A-TiO2,TiO2
CoO2,CoO2
ZnFe2O4,ZnFe2O4
NiFe2O4,NiFe2O4
CdFe2O4,CdFe2O4
MnO2-Co3O4,MnCo3O6
Ni6MnO8,Ni6MnO8
Nb2O5,Nb2O5
TiO2,TiO2
ZnO/ZnCo2O4,Zn2ZnCo2O5
CuO,CuO
CuO/Cu2O,Cu3O2
V2O5,V2O5
TiO2-CuOx,TiCuO3
CeO2-CeFeO3,Ce2FeO5
Bi-V-O,BiVO
(Co2/3Mn1/3)(Co5/6Mn1/6)2O4,Co2.3Mn0.6O4
TiO2/Fe2TiO5,Ti2Fe2TiO7
SiO2,SiO2
CeO2-MnOx,CeMnO3
Co2Mn2O5 ?,Co2Mn2O5
Mg0.064Ca0.936(CO3),Mg0.064Ca0.936CO3
Mg0.03Ca0.97(CO3),Mg0.03Ca0.97CO3
Cr2O3,Cr2O3
Ta2O5,Ta2O5
MnO2,MnO2
MgO,MgO
Ta2O5/C,Ta2O5C
WO3,WO3
